"Start Time","End Time","Activity ID","Activity Name","Description","Location Name","Time Zone","Offset","Duration (h:m:s)","Elapsed Duration (h:m:s)","Moving Duration (h:m:s)","Activity Parent","Activity Type","Event Type","Device","Gear","Privacy","File Format","Distance (km)","Average Speed (km/h)","Average Speed (km/h or min/km)","Average Moving Speed (km/h)","Average Moving Speed (km/h or min/km)","Max. Speed (km/h)","Max. Speed (km/h or min/km)","Elevation Gain (m)","Elevation Loss (m)","Elevation Min. (m)","Elevation Max. (m)","Elevation Corrected","Begin Latitude (°DD)","Begin Longitude (°DD)","End Latitude (°DD)","End Longitude (°DD)","Max. Heart Rate (bpm)","Average Heart Rate (bpm)","Calories","VO2max","Aerobic Training Effect","Anaerobic Training Effect","Avg. Run Cadence","Max. Run Cadence","Stride Length","Steps","Avg. Cadence (rpm)","Max. Cadence (rpm)","Strokes","Avg. Temp (°C)","Min. Temp (°C)","Max. Temp (°C)"
"2020-04-17T07:00:09+02:00","2020-04-17T08:06:36+02:00","4795208434","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","01:00:27","01:06:27","01:00:09","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.43993","10.3608000755","05:47","10.4138949501","05:46","18.3060001373","03:17","291.0","289.0","131.2","251.2","false","50.185517","9.143373","50.185372","9.143885","167","129","698","54.0","3.5","","153.16","236.0","112.77","9436","","","","13.7755720982","11.0","16.0"
"2020-04-11T17:00:13+02:00","2020-04-11T19:29:35+02:00","4770189225","Gelnhausen Radfahren","","Gelnhausen","Europe/Paris","+02:00","02:04:54","02:29:22","02:03:19","Any Activity Type","Cycling","Uncategorized","fēnix 3 HR 5.40.0.0","","public","fit","49.72374","23.886000824","23.9","24.1931960822","24.2","61.2035980225","61.2","640.0","633.0","124.6","239.4","false","50.185249","9.141156","50.185316","9.141349","165","122","1142","","3.0","","","","","","","","","20.7440619162","19.0","25.0"
"2020-04-15T07:01:00+02:00","2020-04-15T08:10:03+02:00","4785802123","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","00:56:51","01:09:03","00:56:51","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.82736","11.4264000893","05:15","11.4279263389","05:15","13.8060001373","04:21","49.0","38.0","127.8","154.6","false","50.186043","9.141962","50.185409","9.143816","147","125","695","54.0","3.2","","156.34","166.0","121.82","9014","","","","9.76348182884","7.0","17.0"
"2020-04-17T07:00:09+02:00","2020-04-17T08:06:36+02:00","4795208434","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","01:00:27","01:06:27","01:00:09","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.43993","10.3608000755","05:47","10.4138949501","05:46","18.3060001373","03:17","291.0","289.0","131.2","251.2","false","50.185517","9.143373","50.185372","9.143885","167","129","698","54.0","3.5","","153.16","236.0","112.77","9436","","","","13.7755720982","11.0","16.0"
"2020-04-11T17:00:13+02:00","2020-04-11T19:29:35+02:00","4770189225","Gelnhausen Radfahren","","Gelnhausen","Europe/Paris","+02:00","02:04:54","02:29:22","02:03:19","Any Activity Type","Cycling","Uncategorized","fēnix 3 HR 5.40.0.0","","public","fit","49.72374","23.886000824","23.9","24.1931960822","24.2","61.2035980225","61.2","640.0","633.0","124.6","239.4","false","50.185249","9.141156","50.185316","9.141349","165","122","1142","","3.0","","","","","","","","","20.7440619162","19.0","25.0"
"2020-04-15T07:01:00+02:00","2020-04-15T08:10:03+02:00","4785802123","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","00:56:51","01:09:03","00:56:51","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.82736","11.4264000893","05:15","11.4279263389","05:15","13.8060001373","04:21","49.0","38.0","127.8","154.6","false","50.186043","9.141962","50.185409","9.143816","147","125","695","54.0","3.2","","156.34","166.0","121.82","9014","","","","9.76348182884","7.0","17.0"
"2020-04-17T07:00:09+02:00","2020-04-17T08:06:36+02:00","4795208434","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","01:00:27","01:06:27","01:00:09","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.43993","10.3608000755","05:47","10.4138949501","05:46","18.3060001373","03:17","291.0","289.0","131.2","251.2","false","50.185517","9.143373","50.185372","9.143885","167","129","698","54.0","3.5","","153.16","236.0","112.77","9436","","","","13.7755720982","11.0","16.0"
"2020-04-11T17:00:13+02:00","2020-04-11T19:29:35+02:00","4770189225","Gelnhausen Radfahren","","Gelnhausen","Europe/Paris","+02:00","02:04:54","02:29:22","02:03:19","Any Activity Type","Cycling","Uncategorized","fēnix 3 HR 5.40.0.0","","public","fit","49.72374","23.886000824","23.9","24.1931960822","24.2","61.2035980225","61.2","640.0","633.0","124.6","239.4","false","50.185249","9.141156","50.185316","9.141349","165","122","1142","","3.0","","","","","","","","","20.7440619162","19.0","25.0"
"2020-04-15T07:01:00+02:00","2020-04-15T08:10:03+02:00","4785802123","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","00:56:51","01:09:03","00:56:51","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.82736","11.4264000893","05:15","11.4279263389","05:15","13.8060001373","04:21","49.0","38.0","127.8","154.6","false","50.186043","9.141962","50.185409","9.143816","147","125","695","54.0","3.2","","156.34","166.0","121.82","9014","","","","9.76348182884","7.0","17.0"
"2020-04-17T07:00:09+02:00","2020-04-17T08:06:36+02:00","4795208434","Gelnhausen Laufen","","Gelnhausen","Europe/Paris","+02:00","01:00:27","01:06:27","01:00:09","Any Activity Type","Running","Uncategorized","fēnix 3 HR 5.40.0.0","Saucony Ride ISO ","public","fit","10.43993","10.3608000755","05:47","10.4138949501","05:46","18.3060001373","03:17","291.0","289.0","131.2","251.2","false","50.185517","9.143373","50.185372","9.143885","167","129","698","54.0","3.5","","153.16","236.0","112.77","9436","","","","13.7755720982","11.0","16.0"
